language,group,order_present,answers,order_prod,modality,chain,generation,training_time,testing_time,participant_id
de,n,"['kalt', 'langsam', 'rennen', 'leise', 'Donner']","['kält', 'langsam', 'schnell', 'still', 'viel']","['kalt', 'rennen', 'leise', 'langsam', 'Donner']",gesture,3,7,245.6536913000018,320.95160689999466,47.0
en,n,"['thunderstorm', 'cold', 'to run', 'slow', 'silent']","['fear', 'cold', 'run', 'hiding', 'silence']","['to run', 'slow', 'silent', 'cold', 'thunderstorm']",gesture,3,8,244.3896381999948,341.3520620000054,48.0
de,n,"['rennen', 'leise', 'kalt', 'Donner', 'langsam']","['rennen', 'Stille', 'kalt', 'Gewitter', 'schleichen']","['rennen', 'kalt', 'langsam', 'leise', 'Donner']",gesture,3,9,230.7895248999993,305.76721179999004,49.0
de,n,"['rennen', 'Donner', 'langsam', 'leise', 'kalt']","['gehen', 'Balwerfen', 'gehen', 'Ruhe', 'kalt']","['leise', 'Donner', 'rennen', 'langsam', 'kalt']",gesture,3,10,260.4698936999921,325.1116219999967,50.0
de,n,"['rennen', 'Donner', 'kalt', 'leise', 'langsam']","['beeilung', 'Explosion', 'källte', 'leise', 'gross']","['langsam', 'kalt', 'leise', 'Donner', 'rennen']",gesture,3,11,201.3804717000021,260.1021286000032,51.0
de,n,"['Donner', 'kalt', 'leise', 'rennen', 'langsam']","['Windstoss', 'källte', 'Stille', 'laufen', 'Abstand']","['Donner', 'leise', 'kalt', 'rennen', 'langsam']",gesture,3,12,220.19694979999625,287.1907053000032,52.0
de,n,"['Donner', 'leise', 'langsam', 'rennen', 'kalt']","['kotzen', 'Ruhe', 'Abwarten', 'rennen', 'frieren']","['Donner', 'rennen', 'langsam', 'leise', 'kalt']",gesture,3,13,187.0120911999984,236.13348720000067,53.0
de,n,"['langsam', 'Donner', 'rennen', 'kalt', 'leise']","['Ruhe', 'Riesig', 'laufen', 'frieren', 'Ruhe']","['Donner', 'leise', 'kalt', 'rennen', 'langsam']",gesture,3,14,198.78851790000044,244.90195949999907,54.0
de,n,"['kalt', 'Donner', 'langsam', 'rennen', 'leise']","['kalt', 'Explosion', 'Ruhe', 'rennen', 'leise']","['kalt', 'leise', 'langsam', 'rennen', 'Donner']",gesture,3,15,143.2351587000012,199.5568850999989,55.0
de,n,"['kalt', 'Donner', 'langsam', 'leise', 'rennen']","['frieren', 'explodieren', 'Ruhe', 'Stille', 'laufen']","['kalt', 'langsam', 'Donner', 'rennen', 'leise']",gesture,3,16,200.8845347000024,275.43044560001,56.0
de,n,"['rennen', 'Donner', 'leise', 'langsam', 'kalt']","['rennen', 'schwimmen', 'schweigen', 'waten', 'kalt']","['langsam', 'Donner', 'kalt', 'leise', 'rennen']",gesture,3,17,236.78939150000224,297.38307460000215,57.0
de,n,"['rennen', 'langsam', 'kalt', 'leise', 'Donner']","['rennen', 'schleichen', 'frieren', 'leise', 'gross']","['langsam', 'Donner', 'kalt', 'rennen', 'leise']",gesture,3,18,183.9721228999988,257.25408840000455,58.0
de,n,"['rennen', 'Donner', 'kalt', 'leise', 'langsam']","['laufen', 'gross', 'kalt', 'leise', 'Zeitlupe']","['langsam', 'Donner', 'rennen', 'kalt', 'leise']",gesture,3,19,177.7960549999989,262.58218480000505,59.0
de,n,"['rennen', 'kalt', 'Donner', 'leise', 'langsam']","['rennen', 'frieren', 'Sonne', 'Stille', 'langsam']","['rennen', 'leise', 'kalt', 'langsam', 'Donner']",gesture,3,20,213.364685499997,297.67088919998787,60
