participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2Daggregated,total_body_variability2Daggregated,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_age,diff_in_extrovet,diff_in_gender,diff_in_TotalLanguages,diff_in_TotalNativeLanguages,Age_category
27,13.0,Woman / Weiblich,2.0,5.0,73.0,langsam_g_ch2_g7_compr.mp4,ch2g7,8.0,2.0,langsam,langsam_g_ch2,1.2132170665845683,2.707587164794328,650.6907387538282,-0.56215227,-2.588771,719.3713665997582,0.7313642553404376,0.17432544132185823,239.47875788523368,,,,,,Gen_Z
54,26.0,Non-binary / Nicht-binär,1.0,2.0,70.0,kalt_g_ch3_g14_compr.mp4,ch3g14,15.0,3.0,kalt,kalt_g_ch3,0.9788278332395054,1.3420186393909863,1291.6666666666647,12.223287,4.5756593,201.63081899791703,0.110223297532548,0.42462035781789864,58.3333333333328,6.0,20.0,1.0,1.0,0.0,Gen_Z
42,35.0,Man / Männlich,2.0,4.0,30.0,leise_g_ch3_g2_compr.mp4,ch3g2,3.0,3.0,leise,leise_g_ch3,0.5146494158049024,2.291994362639417,0.0,16.04515,2.4538848,1060.6617549163586,0.04647742887913392,0.21908972074674482,750.0000000000009,6.0,20.0,1.0,1.0,1.0,Millenial
36,15.0,Man / Männlich,1.0,3.0,45.0,rennen_g_ch2_g16_compr.mp4,ch2g16,17.0,2.0,rennen,rennen_g_ch2,1.210446305391077,2.6701909675599635,388.90508550657967,-1.9870496,-2.9013703,439.2667918380006,0.12275677220398329,0.2371433230256419,226.97231482003306,0.0,2.0,0.0,1.0,1.0,Gen_Z
12,25.0,Man / Männlich,1.0,4.0,55.0,langsam_g_ch1_g12_compr.mp4,ch1g12,13.0,1.0,langsam,langsam_g_ch1,0.5191652834674738,2.7811398432290315,514.6110778087835,-2.1666331,-4.4109383,751.0309427894883,0.2774398384663521,2.7811398432290315,514.6110778087835,0.0,21.0,1.0,0.0,0.0,Gen_Z
5,59.0,Man / Männlich,1.0,2.0,66.0,langsam_g_ch1_g5_compr.mp4,ch1g5,6.0,1.0,langsam,langsam_g_ch1,0.99552422288224,2.781413581051936,341.9804340659588,0.08705539,-3.9020264,465.7795758958459,0.15461979798024716,0.03845919373619111,203.5595634492439,1.0,20.0,1.0,1.0,0.0,GenX
19,57.0,Woman / Weiblich,1.0,2.0,39.0,kalt_g_ch1_g19_compr.mp4,ch1g19,20.0,1.0,kalt,kalt_g_ch1,0.8467918770172608,1.8893167904916812,743.6351237528448,12.026984,4.013758,1034.8224867556344,0.13901663801915487,0.4984912807732884,743.6351237528448,38.0,25.0,0.0,0.0,0.0,GenX
23,35.0,Woman / Weiblich,1.0,4.0,43.0,langsam_g_ch2_g3_compr.mp4,ch2g3,4.0,2.0,langsam,langsam_g_ch2,1.2573156304077888,2.8770768026781948,345.2723026293364,-1.5019295,-3.6898255,291.4736260444034,0.32304672906565,0.03923138369832602,16.190533557795277,24.0,26.0,0.0,1.0,0.0,Millenial
53,32.0,Woman / Weiblich,1.0,3.0,50.0,leise_g_ch3_g13_compr.mp4,ch3g13,14.0,3.0,leise,leise_g_ch3,0.4321411715227743,1.9988610550204968,816.6666666666683,15.761672,4.165953,1154.9428379026872,0.02945801808963966,0.5562623352319742,816.6666666666683,11.0,3.0,1.0,0.0,0.0,Millenial
20,,,,,,kalt_g_ch1_g20_compr.mp4,ch1g20,21.0,1.0,kalt,kalt_g_ch1,0.7348127922040295,1.2607697145562609,0.0,13.891619,2.649791,1074.9296840036873,0.11197908481323127,0.6285470759354204,743.6351237528448,,,,,,
58,28.0,Man / Männlich,1.0,2.0,60.0,Donner_g_ch3_g18_compr.mp4,ch3g18,19.0,3.0,Donner,Donner_g_ch3,2.3184613619846632,2.308860132517771,1104.396377223632,9.135376,3.8994794,1609.7542885272817,0.39073591918282324,0.21763157935898692,841.1075858664594,22.0,30.0,1.0,0.0,0.0,Millenial
